,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3[V],NO2[ppb],NO2[V],Pressure[Pa],NO,NO2,NOx,O3,PM10_conc,PM10-2.5_conc,PM2.5_conc,Air_Temperature,Relative_Humidity
2020-05-06 16:00,21.43722222,19.42855556,1.187777778,2.13,2.414444444,53.76511111,1.425614444,125.2708333,1.419082428,99164.675,1.49,3.941,5.639,40.473,15.705,11.404,4.303,12.375,27.602
2020-05-06 17:00,21.38283333,19.0295,1.515,2.552777778,2.872777778,53.78983333,1.425610733,113.9330556,1.41916525,99135.52,1.91,5.132,6.875,40.592,19.672,15.035,4.628,12.848,26.503
2020-05-06 18:00,18.27377778,21.35833333,1.979444444,3.171666667,3.569444444,54.51772222,1.425352411,96.40255556,1.419128117,99147.82556,2.493,7.458,9.555,39.162,21.342,16.181,5.17,12.15,27.662
2020-05-06 19:00,15.24233333,25.0405,2.317777778,3.645555556,4.013888889,55.43972222,1.425095706,93.14616667,1.418985283,99178.02,1.458,10.777,12.126,35.057,16.456,11.442,5.01,11.4,28.912
2020-05-06 20:00,13.82788889,23.87005556,1.266111111,1.899444444,2.078888889,52.1895,1.425054128,77.63611111,1.419020906,99234.99556,0.397,3.695,4.078,38.341,13.062,9.67,3.4,10.556,26.898
2020-05-06 21:00,12.29561111,25.37116667,0.655,1.201111111,1.361666667,52.02494444,1.424959589,72.36238889,1.41899555,99265.70778,0.318,4.479,4.797,36.087,10.369,7.124,3.245,9.064,28.356
2020-05-06 22:00,11.23566667,26.59261111,0.68,1.261111111,1.435555556,53.05994444,1.424883378,74.22055556,1.418951022,99261.88667,0.357,4.094,4.451,35.947,8.113,4.888,3.227,8.395,29.114
2020-05-06 23:00,10.50716667,29.40733333,0.992222222,1.72,1.935555556,52.97811111,1.424846978,74.37122222,1.4189291,99228.00444,0.589,4.937,5.661,33.951,8.608,5.214,3.394,7.743,31.907
2020-05-07 0:00,9.825821092,31.16490584,1.325216573,2.143126177,2.425178908,53.01143503,1.424810483,74.44172128,1.418908559,99189.18919,0.532,6.606,7.138,31.796,9.184,5.565,3.622,7.417,33.219
2020-05-07 1:00,9.407342441,31.94571038,6.78863388,8.023060109,8.478779599,52.70079417,1.424795,71.60229144,1.418917264,99135.79295,0.113,8.106,8.218,29.349,9.143,5.378,3.766,6.536,35.511
2020-05-07 2:00,8.902055556,32.697,13.14666667,15.71111111,16.94055556,52.95727778,1.424763367,72.21238889,1.418898178,99083.64833,0.475,7.98,8.455,29.023,7.66,3.978,3.681,6.09,36.058
2020-05-07 3:00,8.055388889,34.79077778,12.09833333,15.39388889,15.83,52.636,1.424725328,74.15633333,1.418858861,99054.81556,0.535,13.045,13.58,22.883,7.956,4.215,3.737,5.316,38.218
2020-05-07 4:00,7.937555556,32.89261111,11.77666667,15.02166667,15.38777778,52.1235,1.424729183,72.50566667,1.418867222,99036.58556,0.282,10.361,10.642,27.075,7.717,4.217,3.495,5.246,36.573
2020-05-07 5:00,7.888944444,32.77155556,10.75722222,14.05111111,14.44444444,54.4545,1.424679083,72.70794444,1.41886475,99005.37333,1.281,11.635,13.53,25.819,9.659,6.333,3.324,5.026,36.191
2020-05-07 6:00,8.774333333,30.88266667,8.215555556,10.80777778,11.31611111,54.267,1.424728111,79.73544444,1.418838561,98998.53778,1.165,12.28,13.445,26.966,11.403,7.853,3.55,6.079,33.523
2020-05-07 7:00,13.63516949,26.10038795,1.566817326,2.390263653,2.675969868,52.01470056,1.425048562,68.25388889,1.419093269,98983.47493,2.062,9.643,11.705,29.966,18.576,14.402,4.165,8.702,31.587
2020-05-07 8:00,14.34694444,28.31377778,1.417777778,2.350555556,2.637777778,53.05216667,1.425075078,62.8465,1.41916275,98963.76722,1.49,5.84,7.33,33.958,19.255,15.051,4.208,9.368,35.401
2020-05-07 9:00,15.97394444,27.06033333,1.247222222,2.161666667,2.427222222,54.233,1.4251769,73.81866667,1.419172917,98904.36222,1.416,4.326,5.742,38.204,14.827,10.794,4.025,10.972,33.123
2020-05-07 10:00,21.18994444,20.44227778,0.978888889,1.751111111,1.892222222,53.79744444,1.425586461,62.79916667,1.419548828,98821.81333,1.113,2.822,3.973,41.941,11.604,7.903,3.704,13.108,28.249
2020-05-07 11:00,18.96938889,24.30933333,1.577222222,2.488888889,2.716666667,54.88566667,1.425397222,72.55994444,1.419349272,98822.63,0.884,2.95,3.834,39.542,12.951,9.102,3.848,11.947,34.442
2020-05-07 12:00,18.73572222,27.79527778,1.701666667,2.637222222,2.872222222,54.92444444,1.425379028,75.96194444,1.4193104,98762.88778,1.798,3.942,5.5,38.558,15.058,10.865,4.194,12.181,38.779
2020-05-07 13:00,16.62522222,36.40644444,2.040555556,3.212777778,3.44,54.92294444,1.42521745,62.37794444,1.419292833,98787.32667,0.942,3.37,4.312,37.644,19.132,14.478,4.654,9.395,54.695
2020-05-07 14:00,11.77905556,52.51866667,4.987222222,6.724444444,7.047222222,49.40127778,1.424988117,64.06055556,1.419043628,98841.58778,0.961,3.366,4.326,35.208,9.371,4.916,4.454,5.601,73.748
